Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Devon Jackson,LB,Burke,Omaha,NE,"
                6",2 ," 200
            ",0.9429,Illinois,2022,140.0,12.0,1.0,4,Oregon,//247sports.com/player/devon-jackson-46098692
Sebastian Cheeks,LB,Evanston Township,Evanston,IL,"
                6",3 ," 210
            ",0.9406,Illinois,2022,148.0,14.0,5.0,4,North Carolina,//247sports.com/player/sebastian-cheeks-46099187
DeMario Tolan,LB,Dr. Phillips,Orlando,FL,"
                6",1 ," 205
            ",0.9204,Illinois,2022,202.0,20.0,24.0,4,LSU,//247sports.com/player/demario-tolan-46110362
Jimmy Rolder,LB,Marist,Chicago,IL,"
                6",2 ," 220
            ",0.9151,Illinois,2022,220.0,21.0,6.0,4,Michigan,//247sports.com/player/jimmy-rolder-46125560
TJ Dudley,LB,Montgomery Catholic Preparatory,Montgomery,AL,"
                6",1 ," 220
            ",0.9101,Illinois,2022,242.0,23.0,12.0,4,Clemson,//247sports.com/player/tj-dudley-46084527
Xavier Simmons,LB,Northwest Guilford,Greensboro,NC,"
                6",3 ," 235
            ",0.8884,Illinois,2022,400.0,37.0,13.0,3,Missouri,//247sports.com/player/xavier-simmons-46101589
Donovan Westmoreland,LB,Griffin,Griffin,GA,"
                6",0 ," 214
            ",0.8876,Illinois,2022,417.0,38.0,41.0,3,South Carolina,//247sports.com/player/donovan-westmoreland-46104042
Melvin Jordan,LB,Calvary Christian,Clearwater,FL,"
                5",11 ," 215
            ",0.8816,Illinois,2022,487.0,46.0,65.0,3,Oregon State,//247sports.com/player/melvin-jordan-46080056
Aidan Vaughan,LB,Walled Lake Western,Walled Lake,MI,"
                6",3 ," 215
            ",0.8776,Illinois,2022,559.0,50.0,14.0,3,Wisconsin,//247sports.com/player/aidan-vaughan-46115094
Jordan Crook,LB,Duncanville,Duncanville,TX,"
                6",0 ," 225
            ",0.8767,Illinois,2022,565.0,52.0,82.0,3,Arkansas,//247sports.com/player/jordan-crook-46076730
Kaeo Akana,LB,President Theodore Roosevelt,Honolulu,HI,"
                6",3 ," 205
            ",0.8748,Illinois,2022,592.0,56.0,2.0,3,Utah,//247sports.com/player/kaeo-akana-46101403
Jeremy Patton,LB,Tenaha,Tenaha,TX,"
                6",1 ," 210
            ",0.8743,Illinois,2022,601.0,57.0,89.0,3,Baylor,//247sports.com/player/jeremy-patton-46078976
Omar Graham Jr.,LB,Stranahan,Fort Lauderdale,FL,"
                6",1 ," 220
            ",0.8729,Illinois,2022,630.0,59.0,85.0,3,Florida State,//247sports.com/player/omar-graham-jr-46100251
Jared Badie,LB,Oswego East,Oswego,IL,"
                6",5 ," 212
            ",0.8713,Illinois,2022,658.0,63.0,13.0,3,Illinois,//247sports.com/player/jared-badie-46102238
Malachi Hood,LB,Joliet Catholic Academy,Joliet,IL,"
                6",2 ," 210
            ",0.8518,Illinois,2022,,112.0,24.0,3,Illinois,//247sports.com/player/malachi-hood-46108991
Jake Clifton,LB,Owasso,Owasso,OK,"
                6",2 ," 205
            ",0.8485,Illinois,2022,,123.0,21.0,3,Kansas State,//247sports.com/player/jake-clifton-46115000
James Kreutz,LB,Loyola Academy,Wilmette,IL,"
                6",1 ," 210
            ",0.8269,Illinois,2022,,179.0,35.0,3,Illinois,//247sports.com/player/james-kreutz-46127647
Davis Joyner,LB,Frederick Douglass,Lexington,KY,"
                6",3 ," 205
            ",,Illinois,2022,,,,0,,//247sports.com/player/davis-joyner-46114002
Dasan McCullough,Edge,Bloomington South,Bloomington,IN,"
                6",5 ," 235
            ",0.9701,Illinois,2022,75.0,9.0,2.0,4,Indiana,//247sports.com/player/dasan-mccullough-46059433
DJ Wesolak,Edge,Boonville,Boonville,MO,"
                6",4 ," 235
            ",0.9338,Illinois,2022,166.0,15.0,4.0,4,Missouri,//247sports.com/player/dj-wesolak-46103936
Popeye Williams,Edge,Westfield,Westfield,IN,"
                6",3 ," 230
            ",0.9292,Illinois,2022,178.0,16.0,6.0,4,Louisville,//247sports.com/player/popeye-williams-46084647
